[0m[ INFO] [1435600674.373289317]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.156392 , 0.0420282 , -0.342756 ,  , elbowR: , 0.00579733 , -0.604019 , 0.79263 , -0.0828564 , elbowD: , 0.0442716 , -0.343116 , -0.302486 , [0m
[0m[ INFO] [1435600674.406557201]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.160646 , 0.0487977 , -0.333251 ,  , elbowR: , 0.0255471 , -0.606832 , 0.789053 , -0.0921833 , elbowD: , 0.0475671 , -0.347339 , -0.300625 , [0m
[0m[ INFO] [1435600674.439933587]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.170432 , 0.0631142 , -0.319294 ,  , elbowR: , 0.0730122 , -0.606265 , 0.785465 , -0.100781 , elbowD: , 0.0707986 , -0.343592 , -0.307524 , [0m
[0m[ INFO] [1435600674.473271509]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168587 , 0.0606238 , -0.300006 ,  , elbowR: , 0.0984891 , -0.609867 , 0.779222 , -0.105712 , elbowD: , 0.0919525 , -0.348654 , -0.318148 , [0m
[0m[ INFO] [1435600674.506642759]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.169789 , 0.0592609 , -0.276313 ,  , elbowR: , 0.121893 , -0.614787 , 0.772736 , -0.10029 , elbowD: , 0.084718 , -0.358689 , -0.325467 , [0m
[0m[ INFO] [1435600674.539877773]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.172001 , 0.0574557 , -0.232403 ,  , elbowR: , 0.169322 , -0.502993 , 0.843226 , -0.0854277 , elbowD: , 0.0644561 , -0.444109 , -0.215334 , [0m
[0m[ INFO] [1435600674.573305112]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171537 , 0.0487444 , -0.185816 ,  , elbowR: , 0.203977 , -0.495599 , 0.841247 , -0.0712631 , elbowD: , 0.0472927 , -0.463601 , -0.208029 , [0m
[0m[ INFO] [1435600674.606606324]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.175787 , 0.0424945 , -0.142869 ,  , elbowR: , 0.236943 , -0.490894 , 0.834146 , -0.0841547 , elbowD: , 0.0538772 , -0.469335 , -0.202279 , [0m
[0m[ INFO] [1435600674.639884367]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.174423 , 0.0232128 , -0.0787562 ,  , elbowR: , 0.254493 , -0.495906 , 0.825911 , -0.0847478 , elbowD: , 0.0582934 , -0.473079 , -0.203074 , [0m
[0m[ INFO] [1435600674.673272728]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.179987 , -0.0459181 , 0.00968777 ,  , elbowR: , 0.267011 , -0.490944 , 0.824192 , -0.0915806 , elbowD: , 0.0624774 , -0.473732 , -0.199039 , [0m
[0m[ INFO] [1435600674.706568013]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.185938 , -0.0493745 , 0.0761222 ,  , elbowR: , 0.28563 , -0.507083 , 0.807437 , -0.0965805 , elbowD: , 0.0535318 , -0.472888 , -0.210211 , [0m
[0m[ INFO] [1435600674.739925389]: 14 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188698 , -0.0450346 , 0.130738 ,  , elbowR: , 0.294175 , -0.52452 , 0.793293 , -0.0950084 , elbowD: , 0.0459436 , -0.470679 , -0.225269 , [0m
[0m[ INFO] [1435600674.773261316]: 15 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.187958 , -0.0421314 , 0.171454 ,  , elbowR: , 0.293537 , -0.515869 , 0.798736 , -0.0986697 , elbowD: , 0.0516361 , -0.474783 , -0.211189 , [0m
[0m[ INFO] [1435600674.806603151]: 16 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186006 , -0.0348159 , 0.209166 ,  , elbowR: , 0.287657 , -0.506494 , 0.80801 , -0.088527 , elbowD: , 0.048431 , -0.477969 , -0.194721 , [0m
[0m[ INFO] [1435600674.839917206]: 17 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.187479 , -0.0239264 , 0.235566 ,  , elbowR: , 0.268525 , -0.528094 , 0.801578 , -0.0805209 , elbowD: , 0.0444654 , -0.463862 , -0.214213 , [0m
[0m[ INFO] [1435600674.873296698]: 18 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.182703 , -0.0226216 , 0.260239 ,  , elbowR: , 0.258374 , -0.537444 , 0.799543 , -0.0716031 , elbowD: , 0.0362982 , -0.45665 , -0.22062 , [0m
[0m[ INFO] [1435600674.906602147]: 19 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.180514 , -0.0159626 , 0.281565 ,  , elbowR: , 0.240737 , -0.538017 , 0.80523 , -0.064706 , elbowD: , 0.026597 , -0.448853 , -0.228365 , [0m
[0m[ INFO] [1435600674.939928579]: 20 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.17736 , -0.00862472 , 0.298548 ,  , elbowR: , 0.218375 , -0.537937 , 0.812674 , -0.0499659 , elbowD: , 0.0204964 , -0.443707 , -0.231857 , [0m
[0m[ INFO] [1435600674.973275040]: 21 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.175141 , -0.00454828 , 0.301847 ,  , elbowR: , 0.208304 , -0.52503 , 0.822994 , -0.0602705 , elbowD: , 0.0609162 , -0.424886 , -0.234992 , [0m
[0m[ INFO] [1435600675.006507608]: 22 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171416 , 0.00516854 , 0.311898 ,  , elbowR: , 0.195345 , -0.521522 , 0.828124 , -0.0637611 , elbowD: , 0.0714921 , -0.412706 , -0.245059 , [0m
[0m[ INFO] [1435600675.039903898]: 23 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168327 , 0.00754702 , 0.314271 ,  , elbowR: , 0.158572 , -0.523706 , 0.834201 , -0.0685208 , elbowD: , 0.0802809 , -0.408715 , -0.248247 , [0m
[0m[ INFO] [1435600675.073270426]: 24 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.166947 , 0.0153641 , 0.313329 ,  , elbowR: , 0.129879 , -0.51939 , 0.841198 , -0.0758377 , elbowD: , 0.0866369 , -0.402465 , -0.248723 , [0m
[0m[ INFO] [1435600675.106529614]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.164167 , 0.0356728 , 0.313739 ,  , elbowR: , 0.0965495 , -0.517819 , 0.845612 , -0.0865021 , elbowD: , 0.0942499 , -0.398066 , -0.246319 , [0m
[0m[ INFO] [1435600675.139819549]: 26 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.16781 , 0.0434609 , 0.307751 ,  , elbowR: , 0.0582225 , -0.514149 , 0.850515 , -0.09426 , elbowD: , 0.0992328 , -0.394697 , -0.251159 , [0m
[0m[ INFO] [1435600675.173265768]: 27 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.164118 , 0.0487234 , 0.304889 ,  , elbowR: , 0.0309214 , -0.51255 , 0.852878 , -0.0945281 , elbowD: , 0.101883 , -0.392591 , -0.25494 , [0m
[0m[ INFO] [1435600675.206488665]: 28 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.165282 , 0.0556048 , 0.287387 ,  , elbowR: , -0.000906495 , -0.510933 , 0.854648 , -0.0923272 , elbowD: , 0.102334 , -0.395579 , -0.253313 , [0m
[0m[ INFO] [1435600675.239900004]: 29 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171517 , 0.0618759 , 0.25716 ,  , elbowR: , -0.0109276 , -0.509533 , 0.855125 , -0.0949654 , elbowD: , 0.105564 , -0.392183 , -0.25575 , [0m
[0m[ INFO] [1435600675.273263944]: 30 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171976 , 0.07824 , 0.226739 ,  , elbowR: , -0.0223441 , -0.508799 , 0.854141 , -0.105207 , elbowD: , 0.10907 , -0.389061 , -0.257758 , [0m
[0m[ INFO] [1435600675.306584370]: 31 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.16835 , 0.0612353 , 0.231762 ,  , elbowR: , -0.0407833 , -0.507088 , 0.852888 , -0.11739 , elbowD: , 0.111346 , -0.38639 , -0.255714 , [0m
[0m[ INFO] [1435600675.339922204]: 32 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.166687 , 0.0223212 , 0.204069 ,  , elbowR: , -0.0551254 , -0.507237 , 0.852736 , -0.111859 , elbowD: , 0.114731 , -0.38519 , -0.260355 , [0m
[0m[ INFO] [1435600675.373300329]: 33 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.167901 , 0.0339584 , 0.179703 ,  , elbowR: , -0.0688411 , -0.509918 , 0.850976 , -0.105279 , elbowD: , 0.104927 , -0.389368 , -0.268052 , [0m
[0m[ INFO] [1435600675.406566791]: 34 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.16301 , 0.0330327 , 0.151664 ,  , elbowR: , -0.0732786 , -0.509005 , 0.850774 , -0.108296 , elbowD: , 0.112368 , -0.381708 , -0.27252 , [0m
[0m[ INFO] [1435600675.439874483]: 35 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.156574 , 0.0398174 , 0.116045 ,  , elbowR: , -0.119878 , -0.505697 , 0.845416 , -0.123173 , elbowD: , 0.0848846 , -0.378524 , -0.263638 , [0m
[0m[ INFO] [1435600675.473167605]: 36 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.150266 , 0.0284658 , 0.0771266 ,  , elbowR: , -0.143216 , -0.505969 , 0.841714 , -0.122485 , elbowD: , 0.0803455 , -0.378267 , -0.25919 , [0m
[0m[ INFO] [1435600675.506637246]: 37 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.149001 , 0.0104522 , 0.0333681 ,  , elbowR: , -0.196335 , -0.437646 , 0.871007 , -0.106138 , elbowD: , 0.0592503 , -0.378532 , -0.264054 , [0m
[0m[ INFO] [1435600675.539959731]: 38 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.148145 , 0.0050649 , -0.00848754 ,  , elbowR: , -0.225089 , -0.448062 , 0.859873 , -0.0958827 , elbowD: , 0.0334766 , -0.376734 , -0.281443 , [0m
[0m[ INFO] [1435600675.573235988]: 39 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.135873 , 0.00163417 , -0.0350297 ,  , elbowR: , -0.254514 , -0.450326 , 0.851485 , -0.0860387 , elbowD: , 0.0162412 , -0.377804 , -0.290282 , [0m
[0m[ INFO] [1435600675.606612038]: 40 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.164136 , 0.0167884 , -0.0928214 ,  , elbowR: , -0.277058 , -0.455892 , 0.842515 , -0.0746276 , elbowD: , 0.00846972 , -0.376915 , -0.29917 , [0m
[0m[ INFO] [1435600675.639933519]: 41 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.164136 , 0.0167884 , -0.0928214 ,  , elbowR: , -0.277058 , -0.455892 , 0.842515 , -0.0746276 , elbowD: , 0.00846972 , -0.376915 , -0.29917 , [0m
[0m[ INFO] [1435600675.673307431]: 42 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.182723 , -0.0108773 , -0.181594 ,  , elbowR: , -0.288597 , -0.476762 , 0.828724 , -0.0512386 , elbowD: , -0.00190658 , -0.367795 , -0.31239 , [0m
[0m[ INFO] [1435600675.706605043]: 43 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.183668 , -0.0164957 , -0.201577 ,  , elbowR: , -0.282775 , -0.487422 , 0.824754 , -0.0473166 , elbowD: , -0.00344981 , -0.361646 , -0.317402 , [0m
[0m[ INFO] [1435600675.739950991]: 44 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.18617 , -0.0217028 , -0.223713 ,  , elbowR: , -0.276956 , -0.491577 , 0.824589 , -0.041236 , elbowD: , -0.0155853 , -0.362229 , -0.312399 , [0m
[0m[ INFO] [1435600675.773229670]: 45 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186625 , -0.0215208 , -0.234525 ,  , elbowR: , -0.268759 , -0.502038 , 0.821249 , -0.0357347 , elbowD: , -0.0149998 , -0.359584 , -0.312676 , [0m
[0m[ INFO] [1435600675.806610575]: 46 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186612 , -0.0215644 , -0.234613 ,  , elbowR: , -0.257885 , -0.504522 , 0.823404 , -0.0309494 , elbowD: , -0.02067 , -0.357271 , -0.307242 , [0m
[0m[ INFO] [1435600675.839931198]: 47 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.185532 , -0.0293332 , -0.246835 ,  , elbowR: , -0.248066 , -0.497279 , 0.831034 , -0.0236652 , elbowD: , -0.0255907 , -0.355534 , -0.303446 , [0m
[0m[ INFO] [1435600675.873148309]: 48 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.182875 , -0.0502038 , -0.263112 ,  , elbowR: , -0.232486 , -0.505486 , 0.8307 , -0.0192916 , elbowD: , -0.0281439 , -0.359565 , -0.301378 , [0m
[0m[ INFO] [1435600675.906559944]: 49 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.177533 , -0.0497344 , -0.264882 ,  , elbowR: , -0.210517 , -0.506619 , 0.835943 , -0.0147814 , elbowD: , -0.0343456 , -0.360362 , -0.300252 , [0m
[0m[ INFO] [1435600675.940038269]: 50 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.178363 , -0.0466476 , -0.253367 ,  , elbowR: , -0.182764 , -0.507689 , 0.841664 , -0.0212344 , elbowD: , -0.00192787 , -0.361245 , -0.292038 , [0m
[0m[ INFO] [1435600675.973206803]: 51 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.178565 , -0.0590175 , -0.248457 ,  , elbowR: , -0.161348 , -0.506791 , 0.846558 , -0.0216518 , elbowD: , 0.0106176 , -0.364728 , -0.283357 , [0m
[0m[ INFO] [1435600676.006486570]: 52 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.17366 , -0.0466644 , -0.227341 ,  , elbowR: , -0.136376 , -0.500739 , 0.853658 , -0.0439432 , elbowD: , 0.0195053 , -0.370065 , -0.269515 , [0m
[0m[ INFO] [1435600676.039952125]: 53 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.17168 , -0.052485 , -0.224985 ,  , elbowR: , -0.121151 , -0.497632 , 0.857681 , -0.0454719 , elbowD: , 0.0149467 , -0.374591 , -0.262637 , [0m
[0m[ INFO] [1435600676.073305014]: 54 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.169321 , -0.092173 , -0.264284 ,  , elbowR: , -0.0943875 , -0.496497 , 0.860936 , -0.0580578 , elbowD: , 0.0219309 , -0.375168 , -0.255755 , [0m
[0m[ INFO] [1435600676.106551774]: 55 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.175864 , -0.102242 , -0.246487 ,  , elbowR: , -0.070273 , -0.499219 , 0.861627 , -0.0586639 , elbowD: , 0.017137 , -0.379449 , -0.257955 , [0m
[0m[ INFO] [1435600676.139951817]: 56 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171695 , -0.100789 , -0.231435 ,  , elbowR: , -0.0450965 , -0.504675 , 0.860684 , -0.0499359 , elbowD: , 0.0190686 , -0.382207 , -0.263389 , [0m
[0m[ INFO] [1435600676.173180528]: 57 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.174996 , -0.0933041 , -0.19986 ,  , elbowR: , -0.0271471 , -0.508629 , 0.859287 , -0.046745 , elbowD: , 0.0238239 , -0.384715 , -0.266501 , [0m
[0m[ INFO] [1435600676.206502142]: 58 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.174996 , -0.0933041 , -0.19986 ,  , elbowR: , -0.00620739 , -0.518275 , 0.854265 , -0.0398078 , elbowD: , 0.0284292 , -0.385071 , -0.275033 , [0m
[0m[ INFO] [1435600676.239869992]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.172018 , -0.100162 , -0.174248 ,  , elbowR: , 0.0157838 , -0.522889 , 0.851328 , -0.0397294 , elbowD: , 0.0300673 , -0.387498 , -0.278228 , [0m
[0m[ INFO] [1435600676.273308085]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188549 , -0.117489 , -0.171958 ,  , elbowR: , 0.0382326 , -0.512176 , 0.856764 , -0.0465722 , elbowD: , 0.0300286 , -0.396419 , -0.264603 , [0m
[0m[ INFO] [1435600676.306597821]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.202021 , -0.0101436 , -0.0298064 ,  , elbowR: , 0.0551934 , -0.521425 , 0.850305 , -0.0452956 , elbowD: , 0.0246434 , -0.396236 , -0.26911 , [0m
[0m[ INFO] [1435600676.339970045]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.211795 , 0.0704861 , 0.114873 ,  , elbowR: , 0.0710725 , -0.518921 , 0.850756 , -0.0434049 , elbowD: , 0.025478 , -0.401957 , -0.26127 , [0m
[0m[ INFO] [1435600676.373270615]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.241336 , 0.0103921 , 0.0553004 ,  , elbowR: , 0.0868857 , -0.519858 , 0.848908 , -0.0394148 , elbowD: , 0.0226054 , -0.403371 , -0.259575 , [0m
[0m[ INFO] [1435600676.406564997]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.257199 , -0.0103023 , 0.0127445 ,  , elbowR: , 0.0986559 , -0.526547 , 0.843392 , -0.0412935 , elbowD: , 0.0210022 , -0.401926 , -0.262954 , [0m
